t;h0;g;dt;r;cd;m;Density;rf;F_cw;F_g;F_a;F_res;a;v;h
0.55000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43735;1.22500;0.00197;3.25345;4.29042;37.34483;29.80096;68.13956;41.31585;11.95138;0.00503
0.56000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43723;1.22500;0.00197;3.36348;4.28921;37.21379;29.56111;67.61024;41.99195;12.37130;0.00503
0.57000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43710;1.22500;0.00197;3.47446;4.28800;37.08276;29.32030;67.07843;42.66273;12.79793;0.00503
0.58000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43698;1.22500;0.00197;3.58635;4.28679;36.95172;29.07859;66.54426;43.32818;13.23121;0.00503
0.59000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43686;1.22500;0.00197;3.69910;4.28557;36.82069;28.83602;66.00781;43.98826;13.67110;0.00503
0.60000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43673;1.22500;0.00197;3.81266;4.28436;36.68966;28.59263;65.46919;44.64295;14.11752;0.00503
0.61000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43661;1.22500;0.00197;3.92700;4.28315;36.55862;28.34847;64.92850;45.29223;14.57045;0.00503
0.62000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43649;1.22500;0.00197;4.04206;4.28194;36.42759;28.10359;64.38585;45.93609;15.02981;0.00503
0.63000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43636;1.22500;0.00197;4.15779;4.28073;36.29655;27.85803;63.84133;46.57450;15.49555;0.00503
0.64000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43624;1.22500;0.00197;4.27417;4.27951;36.16552;27.61184;63.29505;47.20745;15.96763;0.00503
0.65000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43612;1.22500;0.00197;4.39113;4.27830;36.03448;27.36505;62.74711;47.83493;16.44598;0.00503
0.66000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43599;1.22500;0.00197;4.50864;4.27709;35.90345;27.11772;62.19761;48.45690;16.93055;0.00503
0.67000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43587;1.22500;0.00197;4.62665;4.27588;35.77241;26.86989;61.64665;49.07337;17.42128;0.00503
0.68000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43575;1.22500;0.00197;4.74511;4.27467;35.64138;26.62160;61.09431;49.68431;17.91812;0.00503
0.69000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43562;1.22500;0.00197;4.86400;4.27346;35.51034;26.37289;60.54071;50.28972;18.42102;0.00503
0.70000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43550;1.22500;0.00197;4.98326;4.27224;35.37931;26.12381;59.98594;50.88958;18.92992;0.00503
0.71000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43538;1.22500;0.00197;5.10285;4.27103;35.24828;25.87440;59.43009;51.48388;19.44475;0.00503
0.72000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43525;1.22500;0.00197;5.22273;4.26982;35.11724;25.62469;58.87326;52.07261;19.96548;0.00503
0.73000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43513;1.22500;0.00197;5.34286;4.26861;34.98621;25.37474;58.31554;52.65577;20.49204;0.00503
0.74000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43500;1.22500;0.00197;5.46319;4.26740;34.85517;25.12458;57.75703;53.23334;21.02437;0.00503
0.75000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43488;1.22500;0.00197;5.58370;4.26618;34.72414;24.87425;57.19781;53.80532;21.56242;0.00503
0.76000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43476;1.22500;0.00197;5.70434;4.26497;34.59310;24.62380;56.63798;54.37169;22.10614;0.00503
0.77000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43463;1.22500;0.00197;5.82506;4.26376;34.46207;24.37325;56.07762;54.93247;22.65547;0.00503
0.78000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43451;1.22500;0.00197;5.94584;4.26255;34.33103;24.12265;55.51682;55.48764;23.21034;0.00503
0.79000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43439;1.22500;0.00197;6.06663;4.26134;34.20000;23.87204;54.95568;56.03720;23.77071;0.00503
0.80000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43426;1.22500;0.00197;6.18739;4.26013;34.06897;23.62145;54.39427;56.58114;24.33653;0.00503
0.81000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43414;1.22500;0.00197;6.30809;4.25891;33.93793;23.37093;53.83269;57.11947;24.90772;0.00503
0.82000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43402;1.22500;0.00197;6.42870;4.25770;33.80690;23.12050;53.27101;57.65218;25.48424;0.00503
0.83000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43389;1.22500;0.00197;6.54917;4.25649;33.67586;22.87021;52.70933;58.17927;26.06604;0.00503
0.84000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43377;1.22500;0.00197;6.66947;4.25528;33.54483;22.62008;52.14771;58.70075;26.65304;0.00503
0.85000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43365;1.22500;0.00197;6.78956;4.25407;33.41379;22.37016;51.58625;59.21661;27.24521;0.00503
0.86000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43352;1.22500;0.00197;6.90942;4.25285;33.28276;22.12048;51.02501;59.72686;27.84248;0.00503
0.87000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43340;1.22500;0.00197;7.02900;4.25164;33.15172;21.87108;50.46409;60.23150;28.44479;0.00503
0.88000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43328;1.22500;0.00197;7.14828;4.25043;33.02069;21.62197;49.90354;60.73054;29.05210;0.00503
0.89000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43315;1.22500;0.00197;7.26723;4.24922;32.88966;21.37321;49.34347;61.22397;29.66434;0.00503
0.90000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43303;1.22500;0.00197;7.38580;4.24801;32.75862;21.12482;48.78392;61.71181;30.28146;0.00503
0.91000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43290;1.22500;0.00197;7.50397;4.24680;32.62759;20.87682;48.22498;62.19406;30.90340;0.00503
0.92000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43278;1.22500;0.00197;7.62170;4.24558;32.49655;20.62926;47.66673;62.67073;31.53010;0.00503
0.93000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43266;1.22500;0.00197;7.73898;4.24437;32.36552;20.38216;47.10922;63.14182;32.16152;0.00503
0.94000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43253;1.22500;0.00197;7.85576;4.24316;32.23448;20.13556;46.55253;63.60734;32.79759;0.00503
0.95000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43241;1.22500;0.00197;7.97203;4.24195;32.10345;19.88947;45.99673;64.06731;33.43827;0.00503
0.96000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43229;1.22500;0.00197;8.08774;4.24074;31.97241;19.64394;45.44188;64.52173;34.08349;0.00503
0.97000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43216;1.22500;0.00197;8.20288;4.23952;31.84138;19.39898;44.88805;64.97061;34.73319;0.00503
0.98000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43204;1.22500;0.00197;8.31741;4.23831;31.71034;19.15462;44.33530;65.41396;35.38733;0.00503
0.99000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43192;1.22500;0.00197;8.43131;4.23710;31.57931;18.91090;43.78369;65.85180;36.04585;0.00503
1.00000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43179;1.22499;0.00197;8.54455;4.23589;31.44828;18.66783;43.23329;66.28413;36.70869;0.00503
1.01000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43167;1.22499;0.00197;8.65712;4.23468;31.31724;18.42545;42.68416;66.71097;37.37580;0.00503
1.02000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43155;1.22499;0.00197;8.76897;4.23347;31.18621;18.18377;42.13635;67.13234;38.04712;0.00503
1.03000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43142;1.22499;0.00197;8.88009;4.23225;31.05517;17.94282;41.58992;67.54824;38.72261;0.00503
1.04000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43130;1.22499;0.00197;8.99046;4.23104;30.92414;17.70263;41.04493;67.95869;39.40219;0.00503
1.05000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43118;1.22499;0.00197;9.10005;4.22983;30.79310;17.46322;40.50144;68.36370;40.08583;0.00503
1.06000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43105;1.22499;0.00197;9.20884;4.22862;30.66207;17.22461;39.95948;68.76330;40.77346;0.00503
1.07000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43093;1.22499;0.00197;9.31681;4.22741;30.53103;16.98682;39.41913;69.15749;41.46504;0.00503
1.08000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43080;1.22499;0.00197;9.42394;4.22619;30.40000;16.74987;38.88042;69.54629;42.16050;0.00503
1.09000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43068;1.22499;0.00197;9.53020;4.22498;30.26897;16.51379;38.34341;69.92973;42.85980;0.00503
1.10000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43056;1.22499;0.00197;9.63557;4.22377;30.13793;16.27859;37.80815;70.30781;43.56288;0.00503
1.11000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43043;1.22499;0.00197;9.74004;4.22256;30.00690;16.04429;37.27468;70.68055;44.26968;0.00503
1.12000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43031;1.22499;0.00197;9.84359;4.22135;29.87586;15.81092;36.74304;71.04798;44.98016;0.00503
1.13000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43019;1.22499;0.00197;9.94620;4.22014;29.74483;15.57849;36.21329;71.41012;45.69426;0.00503
1.14000;0.00000;9.81000;0.01000;0.04000;0.64000;0.43006;1.22499;0.00197;10.04785;4.21892;29.61379;15.34702;35.68546;71.76697;46.41193;0.00503
1.15000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42994;1.22499;0.00197;10.14853;4.21771;29.48276;15.11652;35.15960;72.11857;47.13312;0.00503
1.16000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42982;1.22499;0.00197;10.24821;4.21650;29.35172;14.88702;34.63575;72.46493;47.85777;0.00503
1.17000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42969;1.22499;0.00197;10.34688;4.21529;29.22069;14.65852;34.11395;72.80606;48.58583;0.00503
1.18000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42957;1.22499;0.00197;10.44453;4.21408;29.08966;14.43105;33.59423;73.14201;49.31725;0.00503
1.19000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42945;1.22499;0.00197;10.54113;4.21286;28.95862;14.20462;33.07663;73.47277;50.05198;0.00503
1.20000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42932;1.22499;0.00197;10.63669;4.21165;28.82759;13.97925;32.56119;73.79839;50.78996;0.00503
1.21000;0.00000;9.81000;0.01000;0.04000;0.64000;0.42920;1.22499;0.00197;10.73117;4.21044;28.69655;13.75494;32.04793;74.11886;51.53115;0.00503
