t;h0;g;dt;r;cd;m;Density;rf;F_cw;F_g;F_a;F_res;a;v;h
0.69000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44557;1.22500;0.00197;1.34604;4.37107;16.89818;11.18107;25.09367;26.38765;10.37974;0.00503
0.70000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44552;1.22500;0.00197;1.37201;4.37051;16.81586;11.07334;24.85507;26.63620;10.64610;0.00503
0.71000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44546;1.22500;0.00197;1.39798;4.36995;16.73355;10.96561;24.61643;26.88237;10.91493;0.00503
0.72000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44540;1.22500;0.00197;1.42394;4.36939;16.65123;10.85790;24.37774;27.12614;11.18619;0.00503
0.73000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44535;1.22500;0.00197;1.44988;4.36883;16.56891;10.75020;24.13903;27.36754;11.45986;0.00503
0.74000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44529;1.22500;0.00197;1.47580;4.36827;16.48659;10.64252;23.90031;27.60654;11.73593;0.00503
0.75000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44523;1.22500;0.00197;1.50169;4.36771;16.40427;10.53487;23.66159;27.84315;12.01436;0.00503
0.76000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44517;1.22500;0.00197;1.52754;4.36715;16.32195;10.42726;23.42290;28.07738;12.29513;0.00503
0.77000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44512;1.22500;0.00197;1.55335;4.36659;16.23964;10.31969;23.18424;28.30923;12.57823;0.00503
0.78000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44506;1.22500;0.00197;1.57911;4.36603;16.15732;10.21218;22.94564;28.53868;12.86361;0.00503
0.79000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44500;1.22500;0.00197;1.60481;4.36547;16.07500;10.10472;22.70710;28.76575;13.15127;0.00503
0.80000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44495;1.22500;0.00197;1.63045;4.36491;15.99896;10.00360;22.48276;28.99058;13.44118;0.00503
0.81000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44489;1.22500;0.00197;1.65603;4.36435;15.92293;9.90254;22.25848;29.21317;13.73331;0.00503
0.82000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44483;1.22500;0.00197;1.68156;4.36380;15.84689;9.80154;22.03428;29.43351;14.02764;0.00503
0.83000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44477;1.22500;0.00197;1.70702;4.36324;15.77086;9.70060;21.81017;29.65161;14.32416;0.00503
0.84000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44472;1.22500;0.00197;1.73241;4.36268;15.69482;9.59973;21.58615;29.86747;14.62283;0.00503
0.85000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44466;1.22500;0.00197;1.75773;4.36212;15.61879;9.49894;21.36226;30.08109;14.92364;0.00503
0.86000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44460;1.22500;0.00197;1.78296;4.36156;15.54275;9.39823;21.13848;30.29248;15.22657;0.00503
0.87000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44455;1.22500;0.00197;1.80811;4.36100;15.46671;9.29761;20.91485;30.50163;15.53159;0.00503
0.88000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44449;1.22500;0.00197;1.83316;4.36044;15.39068;9.19708;20.69137;30.70854;15.83867;0.00503
0.89000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44443;1.22500;0.00197;1.85812;4.35988;15.31464;9.09665;20.46805;30.91322;16.14780;0.00503
0.90000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44437;1.22500;0.00197;1.88297;4.35932;15.23861;8.99632;20.24490;31.11567;16.45896;0.00503
0.91000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44432;1.22500;0.00197;1.90771;4.35876;15.16257;8.89610;20.02195;31.31589;16.77212;0.00503
0.92000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44426;1.22500;0.00197;1.93234;4.35820;15.08654;8.79600;19.79919;31.51388;17.08726;0.00503
0.93000;0.00000;9.81000;0.01000;0.04000;0.64000;0.44420;1.22500;0.00197;1.95686;4.35764;15.01050;8.69601;19.57664;31.70965;17.40435;0.00503
